"date","bus","rail_boardings","total_rides"
2022-09-12,"480,954","342,767","823,721"
2022-09-13,"527,850","390,462","918,312"
2022-09-14,"531,662","395,177","926,839"
2022-09-15,"526,216","409,158","935,374"
2022-09-16,"508,567","431,965","940,532"
2022-09-17,"333,893","324,035","657,928"
2022-09-18,"237,991","241,024","479,015"
2022-09-19,"495,344","350,160","845,504"
2022-09-20,"522,109","387,279","909,388"
2022-09-21,"537,697","392,818","930,515"
2022-09-22,"530,009","398,846","928,855"
2022-09-23,"458,882","354,789","813,671"
2022-09-24,"320,145","265,000","585,145"
2022-09-25,"229,013","196,621","425,634"
2022-09-26,"497,354","338,256","835,610"
2022-09-27,"527,776","392,549","920,325"
2022-09-28,"530,749","399,004","929,753"
2022-09-29,"521,049","399,396","920,445"
2022-09-30,"517,079","372,584","889,663"
2022-10-01,"331,991","278,557","610,548"
2022-10-02,"230,938","198,343","429,281"
2022-10-03,"522,157","347,552","869,709"
2022-10-04,"539,617","387,120","926,737"
2022-10-05,"535,091","386,695","921,786"
2022-10-06,"528,937","407,379","936,316"
2022-10-07,"497,726","385,824","883,550"
2022-10-08,"327,134","300,298","627,432"
2022-10-09,"207,502","351,798","559,300"
2022-10-10,"413,126","332,397","745,523"
2022-10-11,"516,976","397,158","914,134"
2022-10-12,"497,854","384,939","882,793"
2022-10-13,"533,103","420,167","953,270"
2022-10-14,"501,494","372,144","873,638"
2022-10-15,"325,294","272,080","597,374"
2022-10-16,"227,365","191,906","419,271"
2022-10-17,"470,688","332,889","803,577"
2022-10-18,"499,407","372,296","871,703"
2022-10-19,"525,153","378,834","903,987"
2022-10-20,"507,374","383,470","890,844"
2022-10-21,"462,718","343,986","806,704"
2022-10-22,"328,599","254,638","583,237"
2022-10-23,"239,284","189,552","428,836"
2022-10-24,"499,098","342,781","841,879"
2022-10-25,"478,171","370,030","848,201"
2022-10-26,"539,425","393,904","933,329"
2022-10-27,"528,826","395,129","923,955"
2022-10-28,"501,985","352,842","854,827"
2022-10-29,"311,437","254,149","565,586"
2022-10-30,"217,204","177,961","395,165"
2022-10-31,"454,862","318,942","773,804"
2022-11-01,"535,639","378,179","913,818"
2022-11-02,"532,834","379,413","912,247"
2022-11-03,"540,308","389,939","930,247"
2022-11-04,"489,779","345,651","835,430"
2022-11-05,"271,210","239,302","510,512"
2022-11-06,"237,292","195,418","432,710"
2022-11-07,"502,205","345,095","847,300"
2022-11-08,"445,547","343,165","788,712"
2022-11-09,"524,300","382,075","906,375"
2022-11-10,"534,931","396,488","931,419"
2022-11-11,"458,476","329,637","788,113"
2022-11-12,"283,958","233,513","517,471"
2022-11-13,"216,386","184,686","401,072"
2022-11-14,"479,311","330,831","810,142"
2022-11-15,"482,772","363,154","845,926"
2022-11-16,"501,388","367,015","868,403"
2022-11-17,"489,196","368,122","857,318"
2022-11-18,"437,859","348,326","786,185"
2022-11-19,"253,918","231,052","484,970"
2022-11-20,"204,456","163,384","367,840"
2022-11-21,"423,423","299,744","723,167"
2022-11-22,"435,161","314,006","749,167"
2022-11-23,"398,091","275,787","673,878"
2022-11-24,"160,200","111,986","272,186"
2022-11-25,"305,747","216,040","521,787"
2022-11-26,"283,619","206,385","490,004"
2022-11-27,"190,990","145,822","336,812"
2022-11-28,"472,849","306,743","779,592"
2022-11-29,"492,390","346,172","838,562"
